Name,Race,Gender,Level (PC=10),Health (PC=10),Magicka (PC=10),Stamina (PC=10)
Severio Pelagia,Imperial,Male,4.0,75.0,60.0,60.0
Acolyte Jenssen,Nord,Male,4.0,75.0,50.0,70.0
Danica Pure-Spring,Nord,Female,6.0,92.0,50.0,83.0
Maurice Jondrelle,Breton,Male,8.0,128.5,82.0,82.0
Uthgerd the Unbroken,Nord,Female,10.0,155.3,50.0,79.7
Adrianne Avenicci,Imperial,Female,6.0,95.0,60.0,70.0
Ulfberth War-Bear,Nord,Male,4.0,77.0,56.0,62.0
Bjorlam,Nord,Male,6.0,108.0,50.0,67.0
Jervar,Nord,Male,4.0,85.0,50.0,60.0
Lillith Maiden-Loom,Elder,Female,4.0,75.0,60.0,60.0
Skulvar Sable-Hilt,Nord,Male,4.0,85.0,50.0,60.0
Ysolda,Nord,Female,4.0,75.0,60.0,60.0
Aventus Aretino,Nord,Male,1.0,50.0,0.0,50.0
Neetrenaza,Argonian,Male,4.0,75.0,60.0,60.0
Scouts-Many-Marshes,Argonian,Male,4.0,77.0,62.0,56.0
Shahvee,Argonian,Female,4.0,75.0,60.0,60.0
Stands-In-Shallows,Argonian,Male,4.0,80.0,50.0,65.0
Aval Atheron,Dark Elf,Male,4.0,75.0,60.0,60.0
Faryl Atheron,Dark Elf,Male,4.0,75.0,60.0,60.0
Suvaris Atheron,Dark Elf,Female,4.0,75.0,60.0,60.0
Belyn Hlaalu,Dark Elf,Male,4.0,75.0,60.0,60.0
Hermir Strong-Heart,Nord,Female,4.0,77.0,56.0,62.0
Oengul War-Anvil,Nord,Male,4.0,77.0,56.0,62.0
Bolfrida Brandy-Mug,Nord,Female,4.0,75.0,60.0,60.0
Brunwulf Free-Winter,Nord,Male,4.0,85.0,50.0,60.0
Calixto Corrium,Imperial,Male,8.0,120.0,50.0,85.0
Adonato Leotelli,Imperial,Male,4.0,73.0,63.0,59.0
Captain Lonely-Gale,Nord,Male,10.0,155.0,50.0,80.0
Elda Early-Dawn,Nord,Female,4.0,75.0,60.0,60.0
Luaffyn,Dark Elf,Female,4.0,80.0,50.0,65.0
Nils,Elder,Male,4.0,75.0,60.0,60.0
Rolff Stone-Fist,Nord,Male,4.0,85.0,50.0,60.0
Stenvar,Nord,Male,10.0,205.3,50.0,79.7
Susanna the Wicked,Nord,Female,4.0,80.0,50.0,65.0
Adelaisa Vendicci,Imperial,Female,9.0,170.5,98.5,98.5
Orthus Endario,Imperial,Male,4.0,75.0,60.0,60.0
Calder,Nord,Male,10.0,205.3,50.0,79.7
Helgird,Elder,Female,4.0,75.0,50.0,70.0
Adisla,Nord,Female,4.0,75.0,60.0,60.0
Tulvur,Nord,Male,4.0,75.0,60.0,60.0
Tiber,Animals,Indeterminate,2.0,21.0,0.0,24.0
Ysgramor,Animals,Indeterminate,2.0,21.0,0.0,24.0
Grimvar Cruel-Sea,Nord,Male,4.0,65.0,0.0,80.0
Hillevi Cruel-Sea,Nord,Female,4.0,75.0,60.0,60.0
Idesa Sadri,Dark Elf,Female,4.0,75.0,60.0,60.0
Torsten Cruel-Sea,Nord,Male,4.0,75.0,60.0,60.0
Nilsine Shatter-Shield,Nord,Female,4.0,75.0,60.0,60.0
Torbjorn Shatter-Shield,Nord,Male,4.0,85.0,50.0,60.0
Tova Shatter-Shield,Nord,Female,4.0,75.0,60.0,60.0
Ambarys Rendar,Dark Elf,Male,4.0,75.0,60.0,60.0
Brelas,Wood Elf,Female,4.0,75.0,60.0,60.0
Malborn,Wood Elf,Male,5.0,83.6,63.6,63.6
Malthyr Elenil,Dark Elf,Male,4.0,75.0,60.0,60.0
Niranye,High Elf,Female,10.0,83.6,50.0,76.4
Dalan Merchad,Breton,Male,4.0,85.0,50.0,60.0
Kjar,Nord,Male,4.0,80.0,50.0,65.0
Voldsea Giryon,Dark Elf,Female,4.0,80.0,50.0,65.0
Gjalund Salt-Sage (Skyrim),Nord,Male,1.0,50.0,50.0,50.0
Lygrleid (Skyrim),Nord,Male,1.0,50.0,50.0,50.0
Sogrlaf (Skyrim),Nord,Male,1.0,50.0,50.0,50.0
Angrenor Once-Honored,Nord,Male,4.0,75.0,60.0,60.0
Gort,Nord,Male,6.0,108.0,50.0,67.0
J'datharr,Khajiit,Male,10.0,124.7,65.3,95.0
Silda the Unseen,Nord,Female,4.0,75.0,50.0,70.0
Sofie,Nord,Female,1.0,50.0,0.0,50.0
Jorleif,Nord,Male,1.0,50.0,50.0,50.0
Sifnar Ironkettle,Elder,Male,10.0,131.84000000000003,50.0,73.76
Ulfric Stormcloak,Nord,Male,12.0,178.79999999999998,50.0,86.8
Wuunferth the Unliving,Elder,Male,15.0,160.0,130.0,70.0
Yrsarald Thrice-Pierced,Nord,Male,2.5,62.0,50.0,60.8
Revyn Sadri,Dark Elf,Male,4.0,85.0,50.0,60.0
Jora,Nord,Female,4.0,75.0,50.0,70.0
Lortheim,Nord,Male,4.0,75.0,50.0,70.0
Viola Giordano,Imperial,Female,4.0,75.0,60.0,60.0
Nurelion,High Elf,Male,1.0,50.0,50.0,50.0
Quintus Navale,Imperial,Male,4.0,75.0,65.0,55.0
Alfarinn,Nord,Male,6.0,108.0,50.0,67.0
Arivanya,High Elf,Female,4.0,73.0,63.0,59.0
Ulundil,High Elf,Male,4.0,80.0,50.0,65.0
Birna,Nord,Female,4.0,75.0,60.0,60.0
Ranmir,Nord,Male,4.0,75.0,60.0,60.0
Ancano,High Elf,Male,15.0,124.7,110.3,50.0
Gelebros,Wood Elf,Male,4.0,75.0,65.0,55.0
Quaranir,High Elf,Male,4.0,75.0,65.0,55.0
Savos Aren,Dark Elf,Male,15.0,245.68,326.36,150.0
Tandil,High Elf,Male,4.0,75.0,65.0,55.0
Urag gro-Shub,Orc,Male,10.0,175.0,130.0,80.0
Arniel Gane,Breton,Male,30.0,392.0,343.0,50.0
Brelyna Maryon,Dark Elf,Female,10.0,124.7,95.0,65.3
Enthir,Wood Elf,Male,10.0,124.7,145.0,65.3
J'zargo,Khajiit,Male,10.0,124.7,95.0,65.3
Mirabelle Ervine,Breton,Female,10.0,224.7,310.3,50.0
Nirya,High Elf,Female,4.0,75.0,65.0,55.0
Onmund,Nord,Male,10.0,124.7,195.0,65.3
Tolfdir,Elder,Male,10.0,324.7,279.7,79.7
Colette Marence,Breton,Female,10.0,174.7,195.0,65.3
Drevis Neloren,Dark Elf,Male,10.0,124.7,95.0,65.3
Faralda,High Elf,Female,15.0,240.0,295.0,50.0
Phinis Gestor,Breton,Male,10.0,124.7,110.3,50.0
Sergius Turrianus,Imperial,Male,4.0,75.0,60.0,60.0
Dagur,Nord,Male,4.0,75.0,60.0,60.0
Eirid,Nord,Female,4.0,65.0,0.0,80.0
Haran,Nord,Female,4.0,75.0,60.0,60.0
Nelacar,High Elf,Male,6.0,92.0,75.0,58.0
Assur,Nord,Male,4.0,65.0,0.0,80.0
Kai Wet-Pommel,Nord,Male,2.5,62.0,50.0,60.8
Korir,Nord,Male,4.0,75.0,60.0,60.0
Malur Seloth,Dark Elf,Male,4.0,80.0,65.0,50.0
Thaena,Nord,Female,4.0,75.0,60.0,60.0
Kraldar,Nord,Male,4.0,75.0,60.0,60.0
Thonjolf,Nord,Male,4.0,75.0,60.0,60.0
Augur of Dunlain,Breton,Male,1.0,50.0,50.0,50.0
Velehk Sain,Dremora,Male,4.0,85.0,50.0,60.0
Azzada Lylvieve,Redguard,Male,4.0,75.0,60.0,60.0
Clinton Lylvieve,Breton,Male,4.0,65.0,0.0,80.0
Julienne Lylvieve,Breton,Female,4.0,85.0,50.0,60.0
Michel Lylvieve,Breton,Female,4.0,75.0,60.0,60.0
Aldepius,Imperial,Male,20.0,372.0,50.0,288.0
Faida,Nord,Female,4.0,75.0,60.0,60.0
Varnius Junius,Imperial,Male,4.0,75.0,60.0,60.0
Horgeir,Nord,Male,4.0,75.0,60.0,60.0
Lodvar,Nord,Male,4.0,75.0,60.0,60.0
Olda,Nord,Female,4.0,75.0,60.0,60.0
Commander Maro,Imperial,Male,10.0,155.3,50.0,79.7
Gaius Maro,Imperial,Male,10.0,255.3,50.0,79.7
Penitus Oculatus Agent,Imperial,Male,1.0,50.0,50.0,50.0
Gunnar Stone-Eye,Elder,Male,1.0,50.0,50.0,50.0
Haming,Nord,Male,1.0,50.0,0.0,50.0
Ingrid,Nord,Female,4.0,75.0,60.0,60.0
Matlara,Nord,Female,4.0,85.0,50.0,60.0
Torolf,Nord,Male,4.0,75.0,60.0,60.0
Vilod,Nord,Male,4.0,85.0,50.0,60.0
Elenwen,High Elf,Female,30.0,292.0,195.0,98.0
Hadvar,Nord,Male,10.0,230.3,50.0,79.7
Headsman,Imperial,Male,5.0,96.0,50.0,64.0
Imperial Captain,Imperial,Female,1.0,50.0,50.0,50.0
Priestess of Arkay,Imperial,Female,1.0,50.0,50.0,50.0
Lokir,Nord,Male,1.0,25.0,50.0,50.0
Ralof,Nord,Male,10.0,230.3,50.0,79.7
Boti,Nord,Female,6.0,91.0,67.0,67.0
Fastred,Nord,Female,6.0,91.0,67.0,67.0
Jofthor,Nord,Male,6.0,91.0,67.0,67.0
Klimmek,Nord,Male,6.0,91.0,67.0,67.0
Bassianus Axius,Nord,Male,6.0,91.0,67.0,67.0
Gwilin,Wood Elf,Male,8.0,108.0,73.0,74.0
Lynly Star-Sung,Nord,Female,6.0,91.0,67.0,67.0
Temba Wide-Arm,Nord,Female,8.0,108.0,73.0,74.0
Wilhelm,Nord,Male,10.0,125.0,80.0,80.0
Barknar,Nord,Male,1.0,50.0,50.0,50.0
Ivarstead Guard,Nord,Radiant,20.0,172.0,50.0,113.0
Narfi,Nord,Male,4.0,75.0,60.0,60.0
Enmon,Breton,Male,6.0,89.9,66.15,66.15
Mena,Breton,Female,6.0,91.0,67.0,67.0
Ainethach,Breton,Male,6.0,91.0,67.0,67.0
Belchimac,Breton,Male,6.0,91.0,67.0,67.0
Lash gra-Dushnikh,Orc,Female,6.0,91.0,67.0,67.0
Ragnar,Nord,Male,6.0,91.0,67.0,67.0
Atar,Nord,Male,12.5,184.32,50.0,88.64
Alvor,Nord,Male,10.0,131.0,68.0,86.0
Dorthe,Nord,Female,1.0,50.0,0.0,50.0
Sigrid,Nord,Female,4.0,77.0,56.0,62.0
Faendal,Wood Elf,Male,10.0,124.7,50.0,110.3
Frodnar,Nord,Male,1.0,50.0,0.0,50.0
Gerdur,Nord,Female,9.0,116.0,77.0,77.0
Hod,Nord,Male,8.0,108.0,73.0,74.0
Stump,Animals,Indeterminate,2.0,21.0,0.0,24.0
Camilla Valerius,Imperial,Female,4.0,75.0,60.0,60.0
Lucan Valerius,Imperial,Male,4.0,75.0,60.0,60.0
Delphine,Breton,Female,10.0,190.0,95.0,100.0
Embry,Nord,Male,4.0,75.0,60.0,60.0
Orgnar,Nord,Male,4.0,75.0,60.0,60.0
Hilde,Elder,Female,9.0,116.75,76.7,76.7
Sven,Nord,Male,7.5,103.94,71.75,71.75
Ennis,Redguard,Male,4.0,75.0,60.0,60.0
Reldith,High Elf,Female,4.0,75.0,60.0,60.0
Erik the Slayer,Nord,Male,10.0,255.3,50.0,79.7
Mralki,Nord,Male,4.0,75.0,60.0,60.0
Britte,Nord,Female,4.0,65.0,0.0,80.0
Lemkil,Nord,Male,4.0,75.0,60.0,60.0
Sissel,Nord,Female,4.0,65.0,0.0,80.0
Jouane Manette,Elder,Male,4.0,75.0,70.0,50.0
Rorik,Nord,Male,4.0,85.0,50.0,60.0
Filnjar,Nord,Male,8.0,113.0,64.0,78.0
Grogmar gro-Burzag,Orc,Male,8.0,108.0,73.0,74.0
Odfel,Nord,Male,6.0,91.0,67.0,67.0
Sylgja,Nord,Female,6.0,91.0,67.0,67.0
Shor's Stone Guard,Nord,Radiant,20.0,172.0,50.0,113.0
Baldor Iron-Shaper,Nord,Male,1.0,50.0,50.0,50.0
Deor Woodcutter,Nord,Male,1.0,50.0,50.0,50.0
Yrsa,Nord,Female,1.0,50.0,50.0,50.0
Edla,Nord,Female,1.0,50.0,50.0,50.0
Nikulas,Nord,Male,1.0,50.0,50.0,50.0
Fanari Strong-Voice,Nord,Female,1.0,50.0,50.0,50.0
Tharstan,Elder,Male,1.0,50.0,50.0,50.0
Morwen,Nord,Female,1.0,50.0,50.0,50.0
Aeta,Nord,Female,1.0,50.0,0.0,50.0
Finna,Nord,Female,1.0,50.0,50.0,50.0
Oslaf,Nord,Male,1.0,50.0,50.0,50.0
Frea,Nord,Female,20.0,795.0,182.5,265.0
Storn Crag-Strider,Elder,Male,10.0,131.0,104.0,50.0
Wulf Wild-Blood,Nord,Male,1.0,50.0,50.0,50.0
Chief Burguk,Orc,Male,15.0,213.0,50.0,147.0
Arob,Orc,Female,6.0,108.0,67.0,100.0
Gharol,Orc,Female,6.0,95.0,70.0,110.0
Ghorbash the Iron Hand,Orc,Male,10.0,140.0,50.0,145.0
Murbul,Orc,Female,10.0,125.0,110.0,50.0
Nagrub,Orc,Male,6.0,100.0,50.0,125.0
Shel,Orc,Female,6.0,108.0,67.0,100.0
Dulug,Orc,Female,6.0,108.0,67.0,100.0
Ghak,Orc,Female,6.0,108.0,67.0,100.0
Mahk,Orc,Male,6.0,108.0,67.0,100.0
Oglub,Orc,Male,6.0,108.0,67.0,100.0
Umurn,Orc,Male,6.0,108.0,67.0,100.0
Chief Yamarz,Orc,Male,10.0,1155.3,79.7,50.0
Atub,Orc,Female,10.0,124.7,145.0,65.3
Garakh,Orc,Female,6.0,95.0,60.0,70.0
Gularzob,Orc,Male,6.0,108.0,67.0,50.0
Lob,Orc,Male,10.0,140.0,50.0,145.0
Ogol,Orc,Male,10.0,155.3,79.7,100.0
Ugor,Orc,Female,10.0,140.0,50.0,95.0
Chief Larak,Orc,Male,15.0,200.0,90.0,120.0
Bagrak,Orc,Female,6.0,108.0,67.0,100.0
Borgakh the Steel Heart,Orc,Female,10.0,155.3,79.7,100.0
Sharamph,Orc,Female,10.0,125.0,160.0,50.0
Shuftharz,Orc,Female,6.0,95.0,60.0,120.0
Ghamorz,Orc,Male,6.0,91.0,67.0,117.0
Gul,Orc,Female,6.0,91.0,67.0,117.0
Olur,Orc,Male,6.0,100.0,50.0,125.0
Chief Mauhulakh,Orc,Male,15.0,213.0,97.0,100.0
Bolar,Orc,Female,10.0,125.0,160.0,50.0
Dushnamub,Orc,Male,6.0,108.0,67.0,100.0
Urog,Orc,Female,6.0,100.0,50.0,125.0
Yatul,Orc,Female,6.0,100.0,50.0,125.0
Bor,Orc,Female,6.0,91.0,67.0,117.0
Gadba gro-Largash,Orc,Male,6.0,108.0,50.0,117.0
Mogdurz,Orc,Female,6.0,91.0,67.0,117.0
Mul gro-Largash,Orc,Male,6.0,108.0,50.0,117.0
Legate Constantius Tituleius,Imperial,Male,2.5,62.0,50.0,60.8
Legate Fasendil,High Elf,Male,2.5,62.0,50.0,60.8
Legate Hrollod,Nord,Male,2.5,62.0,50.0,60.8
Legate Sevan Telendas,Dark Elf,Male,2.5,62.0,50.0,60.8
Arrald Frozen-Heart,Nord,Male,2.5,62.0,50.0,60.8
Gonnar Oath-Giver,Nord,Male,2.5,62.0,50.0,60.8
Istar Cairn-Breaker,Nord,Male,2.5,62.0,50.0,60.8
Kottir Red-Shoal,Nord,Male,2.5,62.0,50.0,60.8
Thorygg Sun-Killer,Nord,Male,2.5,62.0,50.0,60.8
General Falx Carius,Imperial,Male,25.0,287.75,50.0,146.5
Ildari Sarothril,Dark Elf,Female,13.0,587.5,420.0,50.0
Niyya,Redguard,Female,4.0,75.0,65.0,55.0
Derkeethus,Argonian,Male,10.0,140.0,50.0,95.0
Hrefna,Nord,Female,4.0,65.0,0.0,80.0
Sondas Drenim,Dark Elf,Male,4.0,75.0,60.0,60.0
Tormir,Nord,Female,4.0,80.0,50.0,65.0
Annekke Crag-Jumper,Nord,Female,10.0,140.0,50.0,95.0
Verner Rock-Chucker,Nord,Male,4.0,85.0,50.0,60.0
Stormcloak Guard,Nord,Radiant,20.0,252.0,50.0,183.0
Agmaer,Nord,Male,10.0,149.0,50.0,86.0
Beleval,Wood Elf,Female,10.0,149.0,50.0,86.0
Celann,Breton,Male,10.0,205.3,50.0,79.7
Durak,Orc,Male,10.0,190.0,50.0,95.0
Florentius Baenius,Imperial,Male,10.0,124.7,50.0,110.3
Gunmar,Nord,Male,15.0,190.09,90.03999999999999,70.02
Ingjard,Nord,Female,10.0,155.3,50.0,79.7
Isran,Redguard,Male,15.0,250.1,50.0,100.05
Mogrul,Orc,Male,10.0,149.0,50.0,86.0
Sorine Jurard,Breton,Female,10.0,124.7,50.0,110.3
Bran,Animals,Indeterminate,10.0,190.0,0.0,145.0
Sceolang,Animals,Indeterminate,10.0,190.0,0.0,145.0
Dexion Evicus,Imperial,Male,11.0,233.72,83.67,133.67000000000002
Serana,Nord,Female,12.0,181.0,86.0,68.0
Vigilant Tolan,Nord,Male,15.0,165.0,90.3,79.7
Dravynea the Stoneweaver,Dark Elf,Female,4.0,75.0,70.0,50.0
Iddra,Nord,Female,4.0,75.0,60.0,60.0
Kjeld,Nord,Male,4.0,75.0,60.0,60.0
Kjeld the Younger,Nord,Male,4.0,85.0,50.0,60.0
Ganna Uriel,Imperial,Female,1.0,50.0,50.0,50.0
Gemma Uriel,Imperial,Female,4.0,75.0,60.0,60.0
Klija Wolf-Claw,Nord,Female,20.0,142.0,50.0,130.5
Roggi Knot-Beard,Nord,Male,7.5,103.94,71.75,71.75
Pactur,Nord,Male,4.0,75.0,60.0,60.0
Sirgar,Nord,Male,4.0,75.0,60.0,60.0
Sorli the Builder,Nord,Female,4.0,75.0,60.0,60.0
Gestur Rockbreaker,Nord,Male,4.0,75.0,60.0,60.0
Hjaalmarch Guard,Nord,Male,20.0,172.0,50.0,113.0
Jesper,Nord,Male,4.0,75.0,60.0,60.0
Swanhvir,Nord,Female,4.0,75.0,60.0,60.0
Teeba-Ei,Argonian,Male,4.0,75.0,60.0,60.0
Bujold the Unworthy,Nord,Female,10.0,424.0,50.0,186.0
Elmus,Nord,Male,10.0,424.0,50.0,186.0
Halbarn Iron-Fur,Nord,Male,10.0,424.0,50.0,186.0
Herkja,Nord,Female,1.0,50.0,50.0,50.0
Hilund,Nord,Female,10.0,424.0,50.0,186.0
Kuvar,Nord,Male,10.0,390.0,50.0,220.0
Sirkjorg,Nord,Male,1.0,50.0,50.0,50.0
Feran Sadri,Dark Elf,Male,10.0,131.0,104.0,50.0
Fura Bloodmouth,Nord,Female,10.0,155.3,50.0,79.7
Garan Marethi,Dark Elf,Male,10.0,124.7,110.3,50.0
Hestla,Nord,Female,10.0,131.0,86.0,68.0
Lord Harkon,Nord,Male,12.0,349.36,194.16,72.08
Modhna,Breton,Female,10.0,155.3,50.0,79.7
Namasur,Redguard,Male,10.0,124.7,110.3,50.0
Orthjolf,Nord,Male,10.0,149.0,50.0,86.0
Rargal Thrallmaster,Nord,Male,10.0,131.0,86.0,68.0
Ronthil,Wood Elf,Male,10.0,121.1,88.69999999999999,76.1
Salonia Caelia,Imperial,Female,10.0,231.0,136.0,68.0
Stalf,Nord,Male,10.0,231.0,154.0,50.0
Vingalmo,High Elf,Male,10.0,131.0,104.0,50.0
CuSith,Animals,Indeterminate,5.0,121.0,0.0,114.0
Garmr,Animals,Indeterminate,5.0,121.0,0.0,114.0
Watchman,Elder,Male,1.0,50.0,50.0,50.0
Vampire Cattle,Nord,Male,1.0,50.0,50.0,50.0
Aeri,Nord,Female,6.0,91.0,67.0,67.0
Ennodius Papius,Imperial,Male,6.0,91.0,67.0,67.0
Kodrir,Nord,Male,6.0,91.0,67.0,67.0
Leifur,Nord,Male,6.0,91.0,67.0,67.0
Froki Whetted-Blade,Elder,Male,10.0,140.0,50.0,95.0
Hern,Nord,Male,10.0,225.0,80.0,80.0
Hert,Nord,Female,10.0,125.0,80.0,80.0
Keeper Carcette,Breton,Female,15.0,165.0,90.3,79.7
Gralnach,Nord,Male,1.0,50.0,0.0,50.0
Grosta,Nord,Female,8.0,108.0,73.0,74.0
Rift Guard,Nord,Radiant,20.0,172.0,50.0,113.0
Markus,Nord,Male,6.0,108.0,50.0,67.0
Oriella,Nord,Female,7.5,101.0,77.5,69.0
Arngeir,Elder,Male,150.0,1292.0,50.0,1043.0
Borri,Elder,Male,100.0,875.0,50.0,710.0
Einarth,Elder,Male,90.0,792.0,50.0,643.0
